part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,appliance_types,replace_parts,brand,availability,in_stock,install_video_url,product_url,appliance_type,description,compatible_models,image_url,rating,review_count
Crosley Refrigerator Mullion Hinge,PS12364145,241779802,42.12,,,Door won’t open or close,Refrigerator,"AP6261464,  241779801,  7241779801",Frigidaire,In Stock,1,,https://www.partselect.com/PS12364145-Frigidaire-241779802-Mullion-Hinge.htm,refrigerator,"Mullion Hinge Specifications Designed to support proper door alignment and sealing, this hinge mullion flipper closes the gap between refrigerator doors, helping to maintain optimal cooling performance. It plays a key role in reducing energy loss and keeping food fresh by preventing warm air from entering the fridge. This part fits select models and installs between the doors—please verify compatibility before purchase.",20462151B | 25370312211 | 25370312212 | 25370312213 | 25370312214 | 25370313210 | 25370313211 | 25370313212 | 25370313213 | 25370313214 | 25370319211 | 25370319212 | 25370319213 | 25370319214 | 25370342210 | 25370342410 | 25370342411 | 25370342412 | 25370342413 | 25370342414 | 25370342415 | 25370342416 | 25370342417 | 25370342418 | 25370342419 | 2537034241A | 2537034241B | 2537034241C | 2537034241D | 2537034241E,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12364145-1-M-Frigidaire-241779802-Mullion-Hinge.jpg,,0
Crosley Refrigerator Hinge Bearing,PS976452,240328203,31.58,Really Easy,15 - 30 mins,Clicking sound | Door won’t open or close | Noisy | Door Sweating,Refrigerator,"AP3757897,  1056737,  7240328203",Frigidaire,In Stock,1,https://www.youtube.com/watch?v=0GScyyhX-Cs,https://www.partselect.com/PS976452-Frigidaire-240328203-Hinge-Bearing.htm,refrigerator,"Hinge Bearing Specifications This refrigerator door hinge bearing is a durable black plastic component designed to fit into the bottom of the door, providing a smooth pivot point for the hinge pin. It plays a critical role in ensuring effortless door movement, reducing friction, and maintaining proper alignment. Positioned at the lower hinge area, it helps eliminate stiffness, noise, and misalignment that can interfere with door operation. Over time, wear may result in symptoms such as squeaking, clicking, or difficulty opening and closing the door. Replacing this bearing restores smooth functionality and helps prevent issues like door sweating or inefficient sealing.",25344303403 | 25344309400 | 25344309401 | 25344352401 | 25344352403 | 25344353400 | 25344353401 | 25344353402 | 25344353403 | 25344353404 | 25344353405 | 25344353406 | 25344353407 | 25344353408 | 25344353409 | 25344354401 | 25344354403 | 25344359400 | 25344359401 | 25344359403 | 25344359404 | 25344359405 | 25344359406 | 25344359407 | 25344359408 | 25344359409 | 25344382402 | 25344383400 | 25344383401 | 25344383402,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/976452-1-M-Frigidaire-240328203-Hinge-Bearing.jpg,4.9,66
Crosley Refrigerator Hinge Bearing,PS11770608,5304507146,12.85,Really Easy,15 - 30 mins,Door won’t open or close,Refrigerator,"AP6038496,  240311201,  240527101",Frigidaire,In Stock,1,https://www.youtube.com/watch?v=KobJVJ2ZwnU,https://www.partselect.com/PS11770608-Frigidaire-5304507146-Hinge-Bearing.htm,refrigerator,"Hinge Bearing Specifications This is a replacement hinge bearing for your refrigerator. The hinge bearing is found on the door hinge, and reduces friction when the door opens and closes. If the bearing is damaged, you may not be able to open or close the door properly, and in this case, it will need to be replaced. It is made of white plastic and is approximately 2 inches long and 1 inch in diameter. This part is sold individually and is a genuine OEM part.",25331420100 | 25331420101 | 25331420104 | 25331422100 | 25331422101 | 25331422103 | 25331424100 | 25331424101 | 25331424102 | 25331427100 | 25331427101 | 25331428100 | 25331428101 | 25331428103 | 25331429100 | 25331429101 | 25331429102 | 25331429103 | 25331429104 | 25331430100 | 25331430101 | 25331430102 | 25331430104 | 25331430105 | 25331430106 | 25331432100 | 25331432101 | 25331432102 | 25331432103 | 25331432104,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11770608-1-M-Frigidaire-5304507146-Hinge-Bearing.jpg,3.8,4
Crosley Refrigerator Door Closing Cam,PS430814,240457701,58.42,Really Easy,15 - 30 mins,Clicking sound | Door won’t open or close | Noisy | Door Sweating,Refrigerator,"AP2116504,  891712,  240457701,  240328001,  240407801,  240457702,  241550101,  241550201,  7240457701",Frigidaire,In Stock,1,https://www.youtube.com/watch?v=R1_7dOUOrU8,https://www.partselect.com/PS430814-Frigidaire-240457701-Door-Closing-Cam.htm,refrigerator,Door Closing Cam Specifications Sold individually. This cam is located at the bottom of the fridge/freezer door.,25344302400 | 25344302401 | 25344303400 | 25344303401 | 25344303402 | 25344303403 | 25344304400 | 25344304401 | 25344309400 | 25344309401 | 25344333600 | 25344333601 | 25344333602 | 25344333603 | 25344333604 | 25344333605 | 25344333606 | 25344333607 | 25344333608 | 25344333609 | 2534433360A | 25344352400 | 25344352401 | 25344352403 | 25344352404 | 25344352405 | 25344352406 | 25344352407 | 25344352408 | 25344352409,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/430814-1-M-Frigidaire-240457701-Door-Closing-Cam.jpg,4.6,32
Crosley Refrigerator Hinge Bearing,PS11770609,5304507147,12.85,Easy,30 - 60 mins,Door won’t open or close,Refrigerator,"AP6038497,  240311202,  240527102",Frigidaire,In Stock,1,,https://www.partselect.com/PS11770609-Frigidaire-5304507147-Hinge-Bearing.htm,refrigerator,"Hinge Bearing Specifications This door hinge bushing, or hinge bearing, is a genuine OEM replacement part for your refrigerator. The hinge bearing helps the refrigerator door stay on track when opening and closing, ensuring it is flush with the cabinet when closed. You will need a screwdriver and a ratchet in order to complete this repair.",25331113300 | 25331113302 | 25331113304 | 25331113308 | 2533111330A | 2533111330B | 2533111330C | 2533111330D | 2533111330E | 2533111330F | 2533111330G | 2533111330H | 2533111330J | 2533111330K | 2533111330L | 25331115300 | 25331115302 | 25331115304 | 25331115308 | 2533111530A | 2533111530B | 2533111530C | 2533111530D | 2533111530E | 2533111530F | 2533111530G | 2533111530H | 2533111530J | 2533111530K | 2533111530L,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11770609-1-M-Frigidaire-5304507147-Hinge-Bearing.jpg,4.0,1
Crosley Refrigerator Top Hinge Bearing,PS10060181,216970802,19.3,,,Frost buildup,Freezer | Refrigerator,"AP5952212,  216970800,  216970801,  7216970800",Frigidaire,In Stock,1,,https://www.partselect.com/PS10060181-Frigidaire-216970802-Top-Hinge-Bearing.htm,refrigerator,Top Hinge Bearing Specifications This hinge bearing supports smooth door movement while maintaining proper alignment. Reduced friction helps prevent wear and ensures easy opening and closing. Replacing a worn bearing restores smooth and stable door operation.,25321042410 | 25321042411 | 25321042412 | 25321042413 | 25321042414 | 25321242410 | 25321742510 | 25321742511 | 25321742512 | 25321742513 | 25321742514 | 25321742515 | 25321742516 | 25322040510 | 25322042410 | 25322042411 | 25322042412 | 25322052610 | 25322052611 | 25322442410 | 25322442411 | 25322442412 | 25322442413 | 25322442414 | 25322442415 | 25322442416 | 25322742410 | 25322742411 | 25322742412 | 25324042102,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/10060181-1-M-Frigidaire-216970802-Top-Hinge-Bearing.jpg,,0
Crosley Refrigerator Water Inlet Valve,PS7784018,242252702,62.6,Easy,30 - 60 mins,Leaking | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice | Ice maker dispenses too little ice | Leaks water,Refrigerator,"AP5671757,  2692163,  242252702,  240321801,  240505101,  240505102,  240508101,  240508102,  240531101,  241734301,  241734302,  7241734301",Frigidaire,In Stock,1,https://www.youtube.com/watch?v=7nmDM3LZo8E,https://www.partselect.com/PS7784018-Frigidaire-242252702-Refrigerator-Water-Inlet-Valve.htm,refrigerator,"Refrigerator Water Inlet Valve Specifications The function of the Refrigerator Water Inlet Valve (Triple Solenoid Water-Valve, Water Valve, Water Inlet Valve, Refrigerator Water Inlet Valve Assembly) is to release water from the supply line when activated, and send it through to your water dispenser or ice maker in your refrigerator. The water inlet valve is located at the back of the refrigerator, and connects to the water supply. The valve can break from material fatigue or normal use. If your water inlet valve is malfunctioning, you could be getting a lack of water to the inside of your refrigerator. Your ice maker may not produce cubes or your water dispenser may not work. The water inlet valve must be replaced if the solenoids no longer have continuity or the valve has internal blockage. This valve measures approximately 7 inches long and 4.5 inches wide, and is constructed of plastic and metal. It comes in blue, and includes the valve and mounting bracket.",25344302400 | 25344302401 | 25344303400 | 25344303401 | 25344303402 | 25344303403 | 25344304400 | 25344304401 | 25344309400 | 25344309401 | 25344333600 | 25344333601 | 25344333602 | 25344333603 | 25344333604 | 25344333605 | 25344333606 | 25344333607 | 25344333608 | 25344333609 | 2534433360A | 25344352400 | 25344352401 | 25344352403 | 25344352404 | 25344352405 | 25344352406 | 25344352407 | 25344352408 | 25344352409,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/7784018-1-M-Frigidaire-242252702-Refrigerator-Water-Inlet-Valve.jpg,4.6,124
Crosley Refrigerator Water Inlet Valve,PS3497634,W10408179,78.77,Easy,15 - 30 mins,Leaking | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice | Ice maker dispenses too little ice,Refrigerator,"AP5263471,  1938614,  W10408179,  2186486,  2188622,  2188708,  2188746,  2205762,  2255457,  2304757,  2304833,  2315534,  4389177,  W10408179VP",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=eNGe_VUDIBA,https://www.partselect.com/PS3497634-Whirlpool-W10408179-Water-Inlet-Valve.htm,refrigerator,"Water Inlet Valve Specifications The water inlet valve (Refrigerator Water Inlet Valve Kit) provides water for the ice maker and water dispenser. This part is located at the back of the refrigerator, and connects to the water supply.  If your water inlet valve is malfunctioning, you could be getting a lack of water to the inside of your refrigerator. Your ice maker may not produce cubes or your water dispenser may not work. This breakage can occur from material fatigue or normal use, and is a sign the part should be replaced soon. The water inlet valve must be replaced if the solenoids no longer have continuity or the valve has internal blockage. The part measures approximately 6.5 inches long and 3 inches wide and is constructed of plastic and metal. It comes in blue/green/red.",10650202990 | 10650202991 | 10650202992 | 10650202993 | 10650203990 | 10650203991 | 10650203992 | 10650203993 | 10650204990 | 10650204991 | 10650204992 | 10650204993 | 10650209990 | 10650209991 | 10650209992 | 10650209993 | 10650222010 | 10650223010 | 10650228010 | 10650229010 | 10650252000 | 10650252001 | 10650252002 | 10650254000 | 10650254001 | 10650254002 | 10650257000 | 10650257001 | 10650259000 | 10650259001,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/3497634-1-M-Whirlpool-W10408179-Water-Inlet-Valve.jpg,4.7,100
Crosley Refrigerator Water Inlet Valve,PS7784017,242252603,59.35,Really Easy,15 - 30 mins,Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Not dispensing water | Won’t start,Refrigerator | Freezer,"AP5671756,  2705494,  242252603,  218475600,  218720400,  240380301,  240519601,  241803701,  241803703,  5303289068,  5303304971,  7240519601,  7241803701",Frigidaire,In Stock,1,,https://www.partselect.com/PS7784017-Frigidaire-242252603-Water-Inlet-Valve.htm,refrigerator,"Water Inlet Valve Specifications If you notice that the ice maker in your refrigerator is leaking or is not making or dispensing ice, you may need to replace the water inlet valve. When energized, the water inlet valve releases water from the supply line into the ice mold. The water inlet valve is in the back of your refrigerator so you will need to pull the fridge out from the wall before completing this repair. To complete this job, you will need a 1/2 inch wrench, a 1/4 inch nut driver and a utility knife. If your old inlet valve has a screw-in fitting, you may need to simply cut the end of the hose to fit in the new part. Be sure to disconnect both the water and power supply from the refrigerator prior to beginning this repair.",25326092100 | 25326092101 | 25326093100 | 25331133300 | 25331133303 | 25331133306 | 25331135300 | 25331135303 | 25331143300 | 25331143303 | 25331145300 | 25331440300 | 25331440301 | 25331440302 | 25331442300 | 25331442301 | 25331442302 | 25331444300 | 25331444301 | 25331444302 | 25331444303 | 25331447300 | 25331447301 | 25331447302 | 25331670105 | 25331670106 | 25331672100 | 25331672101 | 25331672102 | 25331672103,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/7784017-1-M-Frigidaire-242252603-Water-Inlet-Valve.jpg,4.5,27
Crosley Refrigerator Water Inlet Valve - 4 Coil,PS7321353,242253002,147.16,Really Easy,15 - 30 mins,Not dispensing water | Ice maker not making ice | Leaking,Refrigerator,"AP5669874,  242102201",Frigidaire,In Stock,1,,https://www.partselect.com/PS7321353-Frigidaire-242253002-Water-Inlet-Valve-4-Coil.htm,refrigerator,"Water Inlet Valve - 4 Coil Specifications The water inlet valve supplies water to the refrigerator ice maker and water dispenser.

This part works with the following brands: Frigidaire, White Westinghouse, Kelvinator, Gibson, Kenmore, Sears, Tappan, & Electrolux.

Possible Repair Solution For:
Leaking water, water will not dispense, ice maker does not make ice, ice maker does not dispense ice.
This is an authentic water inlet valve (4 coil), which works with refrigerators.",20462151B | 25370312211 | 25370313210 | 25370313211 | 25370319211 | 2537034241E | 2537034241F | 2537034241G | 2537034241H | 2537034241J | 2537034341E | 2537034341F | 2537034341G | 2537034341H | 2537034341J | 25370347410 | 25370347411 | 2537034941G | 2537034941J | 2537044341A | 2537044341C | 2537044341D | 2537044341E | 25370447411 | 90462157B | CFD26WIS0 | CFD26WIS1 | CFD26WIS3 | CFD26WIS4 | CFD26WIS5,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/7321353-1-M-Frigidaire-242253002-Water-Inlet-Valve-4-Coil.jpg,4.6,7
Crosley Refrigerator Single Water Inlet Valve,PS11740365,WP2315576,55.29,Really Easy,30 - 60 mins,Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Not dispensing water,Refrigerator | Ice Maker,"AP6007253,  12213901,  2001318,  2155063,  2171999,  2181702,  2181704,  2181915,  2181917,  2182104,  2188782,  2210436,  2210494,  2315508,  2315576,  W10219716,  W10498974,  WP2315576VP,  WPW10219716",Whirlpool,In Stock,1,,https://www.partselect.com/PS11740365-Whirlpool-WP2315576-Refrigerator-Single-Water-Inlet-Valve.htm,refrigerator,"Refrigerator Single Water Inlet Valve Specifications The single water inlet valve, also known as a water solenoid valve, is used for refrigerators. This part is a solenoid-operated switch that releases water from the supply line to the water valve and into the icemaker mold when activated. If your icemaker is making small cubes, does not dispense ice or water, or leaks, this replacement could solve the issue. The tools needed for this repair are a 1/4 inch nut driver and a utility knife. Refer to the diagram provided by the manufacturer for further instructions. As a safety precaution, remember to unplug your dryer from the power source.",1062155184 | 10647021790 | 10647021791 | 10647022790 | 10647022791 | 10647028790 | 10647028791 | 10657021790 | 10657021791 | 10657022790 | 10657022791 | 10657028790 | 10657028791 | 10660162990 | 10660167990 | 10660172990 | 10660177990 | 10660182000 | 10660182001 | 10660184001 | 10660187000 | 10660192000 | 10660192001 | 10660194001 | 10660197000 | 10660262990 | 10660262991 | 10660264991 | 10660267990 | 10660272990,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11740365-1-M-Whirlpool-WP2315576-Refrigerator-Single-Water-Inlet-Valve.jpg,4.6,28
Crosley Refrigerator Dual Water Valve,PS11743618,WP67005154,76.17,Easy,15 - 30 mins,Leaking | Not dispensing water | Ice maker not making ice | Ice maker won’t dispense ice,Refrigerator,"AP6010439,  67003818,  67005154,  8208153,  8208275,  WP67005154VP",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=ob8Jxuv4TbI,https://www.partselect.com/PS11743618-Whirlpool-WP67005154-Refrigerator-Dual-Water-Valve.htm,refrigerator,"Refrigerator Dual Water Valve Specifications This part, when activated, releases water from the supply line into the ice mold. This water inlet valve is for refrigerators.

Water inlet valve supplies water to the refrigerator ice maker and water dispenser.

Safely store any food that could deteriorate while the power is off and unplug the refrigerator before installing this part. Wear work gloves to protect your hands.",59655652500 | 59655653500 | 59655654500 | 59655659500 | 59655662500 | 59655663500 | 59655664500 | 59655669500 | 59657002600 | 59657003600 | 59657006600 | 59657009600 | 59675522400 | 59675523400 | 59675524400 | 59675529400 | 59675532400 | 59675533400 | 59675534400 | 59675539400 | 59676522500 | 59676523500 | 59676524500 | 59676529500 | 59676532500 | 59676533500 | 59676534500 | 59676539500 | ABC2037DEB | ABC2037DEQ,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11743618-1-M-Whirlpool-WP67005154-Refrigerator-Dual-Water-Valve.jpg,4.7,19
Crosley Refrigerator Water Inlet Valve,PS11743551,WP67003753,79.8,Really Easy,15 - 30 mins,Ice maker not making ice | Leaking | Ice maker won’t dispense ice,Refrigerator,"AP6010372,  12002299,  12638801,  12638803,  67001241,  67003753,  8171101,  8208237",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=zsX-19Lxv3A,https://www.partselect.com/PS11743551-Whirlpool-WP67003753-Refrigerator-Water-Inlet-Valve.htm,refrigerator,"Refrigerator Water Inlet Valve Specifications The water inlet valve is a solenoid-operated switch that, when activated, releases water from the supply line to the water valve and into the compact icemaker mold. This valve is used on side by side or bottom mount refrigerators.",10678586800 | 59662212200 | 59662213200 | 59662214200 | 59662219200 | 59662222200 | 59662224200 | 59662232200 | 59662234200 | 59662239200 | 59662822200 | 59662824200 | 59662832200 | 59662834200 | 59662839200 | 59662912200 | 59662913200 | 59662914200 | 59662919200 | 59663222200 | 59663224200 | 59663822200 | 59663824200 | 59665232400 | 59665232401 | 59665232402 | 59665234400 | 59665234401 | 59665234402 | 59665239400,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11743551-1-M-Whirlpool-WP67003753-Refrigerator-Water-Inlet-Valve.jpg,4.5,11
Crosley Refrigerator Single Outlet Water Valve,PS11743223,WP61005273,60.51,Easy,30 - 60 mins,Ice maker not making ice | Leaking,Refrigerator | Ice Maker,"AP6010047,  61001884,  61005273,  69364-1,  77181-1",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=9ujP2tNw4QU,https://www.partselect.com/PS11743223-Whirlpool-WP61005273-Single-Outlet-Water-Valve.htm,refrigerator,"Single Outlet Water Valve Specifications This refrigerator water inlet valve is a single-outlet component that controls the flow of water from your home’s supply line to the ice maker and water dispenser. Designed for select refrigerator models, it helps ensure consistent water delivery for ice production and dispensing. If your appliance is leaking, not making ice, or the dispenser isn’t working, a faulty valve may be the cause. Replacing it can restore proper function and prevent water-related issues. Always disconnect power and water supply before installation, and confirm compatibility with your model.",18103-0 | 18103-0A | 181040 | 19123-0 | 19124-0 | 19133-0A | 191340 | 191347 | 19143-0A | 19143-0B | 191450 | 191457 | 19153-1 | 191550 | 191557 | 19163-0A | 19173-0A | 19534-0A | 19534-0B | 19534-7A | 19534-7B | 19822-0 | 19822-1 | 19822-7 | 19824-0A | 19824-0C | 19824-1A | 19824-7A | 19824-7C | 19924-0A,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11743223-1-M-Whirlpool-WP61005273-Single-Outlet-Water-Valve.jpg,5.0,8
Crosley Refrigerator Double Inlet Water Valve,PS2060970,61005626,78.72,Really Easy,15 - 30 mins,Leaking | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice,Refrigerator,"AP4071513,  914955,  61005626,  61003317,  61004823,  61005626",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=9YAOjUdmtv8,https://www.partselect.com/PS2060970-Whirlpool-61005626-Double-Inlet-Water-Valve.htm,refrigerator,"Double Inlet Water Valve Specifications This valve is located behind the refrigerator. It has a 1/4"" compression inlet fitting.  This part is a solenoid-operated switch that, when activated, releases water from the supply line to the water valve and into the compact icemaker mold.",61004752 | 61004753 | 61004754 | ARS2760BW | ASD2120DRQ | ASD2120DRW | ASD2123DRA | ASD2123DRQ | ASD2123DRW | ASD2514ARA | ASD2514ARQ | ASD2514ARW | CS21A5DA | CS21A5DW | CS21B5DA | CS21B5DQ | CS21B5DW | CS21F5DW | CS21G5DQ | CS21G5DW | CS23A6DA | CS23A6DW | CS23B6DA | CS23B6DQ | CS23B6DW | CS24G6DB | CS24G6DQ | CS24G6DW | CS25A7DA | CS25A7DB,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/2060970-1-M-Whirlpool-61005626-Double-Inlet-Water-Valve.jpg,5.0,6
Crosley Refrigerator Primary Water Valve,PS11738512,WP12544002,157.49,Really Easy,30 - 60 mins,Leaking | Ice maker not making ice | Not dispensing water,Refrigerator,"AP6005463,  12544002,  8171096",Whirlpool,In Stock,1,,https://www.partselect.com/PS11738512-Whirlpool-WP12544002-Primary-Water-Valve.htm,refrigerator,"Primary Water Valve Specifications This water inlet valve is used in refrigerators and freezers. It is used to facilitate the flow of water from the water supply line to reach the water valve, therefore flowing into the compact icemaker mold. If there is a leak, the ice maker is not making ice or it is not dispensing water, replacing the water inlet valve can solve the issue. Remember to unplug your refrigerator from the power source before beginning this installation project. Refer to the manual provided by the manufacturer for installation instructions and accurate guidance.",59650002100 | 59650003100 | 59650004100 | 59650009100 | 59650012100 | 59650013100 | 59650014100 | 59650019100 | 59651672100 | 59651673100 | 59651674100 | 59651679100 | 59652672200 | 59652672201 | 59652672202 | 59652673200 | 59652673201 | 59652673202 | 59652674200 | 59652674201 | 59652674202 | 59652679200 | 59652679201 | 59652679202 | 59653462300 | 59653462301 | 59653462302 | 59653463300 | 59653463301 | 59653463302,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11738512-1-M-Whirlpool-WP12544002-Primary-Water-Valve.jpg,4.7,6
Crosley Refrigerator Screw - Kit Of Four,PS12365992,5304515677,16.07,Really Easy,Less than 15 mins,,Refrigerator | Freezer,"AP6333077,  137087200,  240383401,  240383406,  7240383406",Frigidaire,In Stock,1,,https://www.partselect.com/PS12365992-Frigidaire-5304515677-Screw-Kit-of-Four.htm,refrigerator,Screw - Kit of Four Specifications This screw is used in refrigerators. The screw can be loosened or tightened with a Phillips-head or square-head screwdriver. This screw is used to secure the refrigerator handle to the refrigerator door. This is an OEM part sourced directly from the manufacturer.,25331113308 | 2533111330A | 2533111330B | 2533111330C | 25331115302 | 25331115308 | 2533111530B | 2533111530C | 25331125302 | 25331133302 | 25331133303 | 25331133306 | 25331135302 | 25331135303 | 25331135306 | 25331143302 | 25331145302 | 25331145303 | 25331430100 | 25331430101 | 25331430106 | 25331432100 | 25331432101 | 25331432106 | 25331434100 | 25331434101 | 25331434106 | 25331434107 | 25331437100 | 25331437101,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12365992-1-M-Frigidaire-5304515677-Screw-Kit-of-Four.jpg,3.7,3
Crosley Refrigerator Screw,PS1525803,218755504,23.6,Very Easy,Less than 15 mins,,Refrigerator | Freezer | Wine and Beverage Cooler,"AP3959968,  1196353,  218755501,  218755503,  241531501,  241531502,  7218755504,  7241531502",Frigidaire,In Stock,1,,https://www.partselect.com/PS1525803-Frigidaire-218755504-Screw.htm,refrigerator,"Screw Specifications Sold individually.  
This is a genuine part. The handle mounting shoulder screw (no.10 ab) is made for use with many refrigerators. The metal screw helps to fasten the handle assembly to the outer door panel. The handle mounting shoulder screw is sold individually. For the repair, you will need a pair of pliers.",20462151B | 20522287A | 25321042412 | 25321042414 | 25321742513 | 25321742514 | 25321742515 | 25321742516 | 25322042411 | 25322042412 | 25322052611 | 25322442415 | 25322442416 | 25322742411 | 25322742412 | 25323082100 | 25323082101 | 25327009412 | 25328092800 | 25328092801 | 25328092802 | 25328092803 | 25328092809 | 25328093800 | 25328093801 | 25328093802 | 25328093803 | 25328099800 | 25328099801 | 25328099802,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/1525803-1-M-Frigidaire-218755504-Screw.jpg,5.0,3
Crosley Refrigerator Screw,PS1526032,240521303,24.67,Really Easy,Less than 15 mins,,Refrigerator | Freezer,"AP3959998,  1196408,  240521301",Frigidaire,In Stock,1,,https://www.partselect.com/PS1526032-Frigidaire-240521303-Screw.htm,refrigerator,"Screw Specifications This small, Phillips-head screw works with your refrigerator/freezer. It screws in to the freezer door and connects to the door handle. This part is made of stainless steel and is sold individually. This is an OEM part sourced directly from the manufacturer.",25323024101 | 25323024102 | 25323024103 | 25323024104 | 25323114101 | 25323114102 | 25323414101 | 25323424101 | 25323424102 | 25323424104 | 25323429100 | 25323714101 | 25323724101 | 25323725101 | 25324042100 | 25324042101 | 25324042102 | 25324042103 | 25324042104 | 25324082100 | 25324082101 | 25324082102 | 25324082103 | 25324082104 | 25324092101 | 25324092102 | 25324092103 | 25324092104 | 25324092105 | 25324422100,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/1526032-1-M-Frigidaire-240521303-Screw.jpg,4.0,4
Crosley Refrigerator Single Washer,PS899288,240311303,19.3,Easy,15 - 30 mins,Door won’t open or close | Door Sweating,Refrigerator,"AP3559694,  1036095,  240311301",Frigidaire,In Stock,1,,https://www.partselect.com/PS899288-Frigidaire-240311303-Single-Washer.htm,refrigerator,Single Washer Specifications Sold Individually.,25331113300 | 25331113302 | 25331113304 | 25331113308 | 2533111330A | 2533111330C | 2533111330D | 2533111330F | 2533111330H | 2533111330J | 2533111330K | 2533111330L | 25331115300 | 25331115302 | 25331115304 | 25331115308 | 2533111530A | 2533111530F | 2533111530H | 2533111530J | 2533111530K | 2533111530L | 25331123300 | 25331123302 | 25331125300 | 25331125302 | 25331133300 | 25331133302 | 25331133303 | 25331133306,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/899288-1-M-Frigidaire-240311303-Single-Washer.jpg,5.0,3
Crosley Refrigerator Screw,PS428655,218755402,28.95,A Bit Difficult,30 - 60 mins,,Refrigerator | Freezer,"AP2115091,  899226,  218755406,  218755407,  218755409,  7218755402",Frigidaire,Special Order,0,,https://www.partselect.com/PS428655-Frigidaire-218755402-Screw.htm,refrigerator,Screw Specifications 10 - 32 x 0.375,20462151B | 20522287A | 25323082100 | 25328092800 | 25328092801 | 25328092802 | 25328092803 | 25328092805 | 25328092809 | 25328093800 | 25328093801 | 25328093802 | 25328093803 | 25328099800 | 25328099801 | 253280998012 | 25328099802 | 25328099803 | 25328099805 | 25328099809 | 25328712800 | 25328712801 | 25328712802 | 25328712803 | 25328712804 | 25328712805 | 25328712806 | 25328712808 | 25328732C0 | 25328732C1,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/428655-1-M-Frigidaire-218755402-Screw.jpg,5.0,2
Crosley Refrigerator Evaporator Fan Motor,PS12728811,242077705,90.73,Easy,30 - 60 mins,Fridge too warm | Noisy | Fridge and Freezer are too warm | Freezer section too warm,Refrigerator,"AP6892595,  242077701,  242077702,  242219201,  5304514392",Frigidaire,In Stock,1,,https://www.partselect.com/PS12728811-Frigidaire-242077705-Evaporator-Fan-Motor.htm,refrigerator,"Evaporator Fan Motor Specifications This blower motor, also known as an evaporator fan motor, is a genuine OEM replacement designed for select refrigerator models. It features a 3-wire connector and powers the internal fan responsible for circulating cold air throughout the fresh food compartment. By maintaining consistent airflow, it supports efficient cooling and helps regulate internal temperature. A malfunctioning motor may result in uneven cooling, warm spots, or excessive frost buildup. Installation should be performed with the appliance unplugged, and model compatibility must be verified prior to purchase.",25360082416 | 25360082417 | 25360083416 | 25360083417 | 25360085613 | 25360085614 | 25360087712 | 25360089416 | 25360089417 | 25360412614 | 25360412616 | 25360412617 | 25360412618 | 2536041261B | 2536041261C | 2536041261E | 2536041261F | 25360413710 | 25360413711 | 25360413712 | 25360413713 | 25360413715 | 25360413716 | 25360413717 | 25360419614 | 25360419616 | 25360419617 | 25360419619 | 2536041961A | 2536041961C,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12728811-1-M-Frigidaire-242077705-Evaporator-Fan-Motor.jpg,4.2,11
